date,term_premium,dgs10,fedfunds,breakeven_10yr,vix,nps_dw_pct_gdp,nps_simple_pct_gdp,fed_treasury_trn,foreign_official_trn,gdp_trn
2008-05-01,0.8623047619047619,3.8800000000000003,1.98,2.42,18.303333333333335,0.00099184655902509,0.004999120543164283,0.491091,2.184079,14.876800333333332
2008-06-01,0.9536095238095238,4.099523809523809,2.0,2.470952380952381,22.11047619047619,0.0020409171261726077,5.07782815149554e-05,0.478796,2.206728,14.887899666666666
2008-07-01,0.9157,4.007727272727273,2.01,2.4386363636363635,24.321818181818184,0.0006727163920536591,0.005883261646268283,0.479206,2.244315,14.898999
2008-08-01,0.8290095238095238,3.8857142857142852,2.0,2.2095238095238097,20.695714285714285,-0.0017946882825178503,0.0028438374493242454,0.479642,2.281246,14.802069
2008-09-01,0.8034952380952382,3.6861904761904762,1.81,1.8361904761904764,30.23857142857143,0.00268244446047876,0.022410818092309052,0.476578,2.283221,14.705139
2008-10-01,1.0291863636363636,3.814090909090909,0.97,1.0618181818181818,61.17739130434782,0.0014271420504286083,0.030308863506974044,0.476469,2.334559,14.608209
2008-11-01,0.9979722222222223,3.526666666666667,0.39,0.6383333333333333,62.66894736842105,0.0012578540517898852,0.006100089257021171,0.476407,2.340167,14.549106666666667
2008-12-01,0.4959863636363636,2.4163636363636365,0.16,0.24636363636363637,52.405,0.0037150683381231776,-0.0018905802980430171,0.475921,2.343802,14.490004333333335
2009-01-01,0.533605,2.5175,0.15,0.6054999999999999,44.683,-0.0017970095896507015,-0.00601046008372798,0.475129,2.383303,14.430902
2009-02-01,0.6957894736842105,2.87,0.22,1.1178947368421053,45.57052631578947,0.003224672039683835,0.016200423803571545,0.474643,2.413082,14.414346666666667
2009-03-01,0.6441636363636364,2.819545454545455,0.18,1.1104545454545454,44.79545454545455,0.008869542407812589,0.01715722632610558,0.474746,2.419332,14.397791333333334
2009-04-01,0.6535619047619048,2.927142857142857,0.15,1.3595238095238096,38.063809523809525,-0.0005186478192327269,-0.0015728216957631887,0.549046,2.465449,14.381236000000001
2009-05-01,0.8528800000000001,3.293,0.18,1.576,31.977999999999998,-0.0032373345799531984,-0.00119465573971141,0.600142,2.523963,14.403784666666667
2009-06-01,1.1385772727272727,3.7218181818181817,0.21,1.8595454545454544,29.140454545454546,0.005139179389880952,0.005399947691643992,0.653193,2.552197,14.426333333333334
2009-07-01,1.0273999999999999,3.5622727272727275,0.16,1.7395454545454547,26.162727272727274,0.004422719683762442,0.007435459791682193,0.695758,2.572264,14.448882
2009-08-01,1.0585761904761906,3.587142857142857,0.16,1.8133333333333332,25.337142857142858,0.0020327285832360837,0.005857942737492564,0.744878,2.594306,14.516337666666667
2009-09-01,0.9523,3.401904761904762,0.15,1.76,24.92666666666667,0.0042138311751743285,0.0016090690372486407,0.76916,2.616491,14.583793333333332
2009-10-01,0.9301714285714285,3.3876190476190478,0.12,1.9042857142857144,24.252272727272725,0.0017678463708991907,-0.007415098585397698,0.774561,2.656723,14.651249
2009-11-01,0.919457894736842,3.4026315789473687,0.12,2.1273684210526316,23.788999999999998,0.008629123083279231,0.013436188729520406,0.776535,2.684349,14.689036
2009-12-01,0.981240909090909,3.5900000000000003,0.12,2.2254545454545456,21.239545454545453,0.006433894225164505,0.00579069825458754,0.776587,2.696972,14.726823
2010-01-01,1.0680631578947368,3.7331578947368427,0.11,2.358421052631579,20.643157894736845,0.0036054675833110737,-0.0026366856517557624,0.776619,2.689321,14.764610000000001
2010-02-01,1.0207368421052632,3.691052631578947,0.13,2.272105263157895,22.54,0.0063965317085450946,0.01117808136708587,0.776549,2.703427,14.836471
2010-03-01,1.0244478260869565,3.7273913043478264,0.16,2.219130434782609,17.767391304347825,0.008789365339073511,0.02099733028921009,0.776705,2.740618,14.908332
2010-04-01,1.0861545454545454,3.8468181818181817,0.2,2.3459090909090907,17.424285714285716,0.0042636241878371926,0.006988836100127032,0.776717,2.779914,14.980193
2010-05-01,0.867125,3.4200000000000004,0.2,2.113,31.9295,0.004102546368785949,0.0043611652721013885,0.776877,2.771073,15.033997666666666
2010-06-01,0.7559227272727272,3.2040909090909087,0.18,1.947272727272727,29.916363636363634,0.00838861338538021,0.008527360005182748,0.776989,2.78692,15.087802333333332
2010-07-01,0.6146666666666667,3.0114285714285716,0.18,1.7704761904761905,25.565238095238094,0.0019502403439376854,0.002010800217206192,0.777021,2.833326,15.141607
2010-08-01,0.42250454545454547,2.6986363636363637,0.19,1.6768181818181818,24.74590909090909,0.006040770685190806,0.010977800906824141,0.784498,2.884752,15.197562666666666
2010-09-01,0.39389047619047624,2.6476190476190475,0.19,1.7385714285714284,22.517619047619046,0.0028650062904248164,0.001577015947988978,0.811669,2.927765,15.253518333333334
2010-10-01,0.298595,2.54,0.19,2.0149999999999997,20.37333333333333,-0.001180214390494392,-0.003908301232798694,0.837848,3.00655,15.309474
2010-11-01,0.397195,2.763,0.19,2.097,20.095714285714287,0.003945470036134968,0.006487491652209319,0.901238,3.049583,15.323465333333333
2010-12-01,0.7313636363636363,3.290909090909091,0.18,2.2468181818181816,17.56954545454545,-0.00018177782796728717,-0.0001398558754575472,1.016102,3.051383,15.337456666666666
2011-01-01,0.78068,3.3939999999999997,0.17,2.3335,17.3155,0.0008505045377613817,0.0004911607058962567,1.114448,3.046942,15.351448
